longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-33.7141974405794	-33.838785746:-33.5896091352	20200205120000	20200205000000:20200206000000	2931.58544921875	0.0:5863.17089844	0.00569292	-0.00321045	0.000406694
-74.5822482638889	-74.70703125:-74.4574652778	-33.465020829812	-33.5896091352:-33.3404325244	20200205120000	20200205000000:20200206000000	2931.58544921875	0.0:5863.17089844	0.0088719	-0.00167623	0.000407393
-74.5822482638889	-74.70703125:-74.4574652778	-33.2158442190446	-33.3404325244:-33.0912559137	20200205120000	20200205000000:20200206000000	2931.58544921875	0.0:5863.17089844	0.00758631	0.00670468	0.000407756
-74.5822482638889	-74.70703125:-74.4574652778	-32.9666676082772	-33.0912559137:-32.8420793029	20200205120000	20200205000000:20200206000000	2931.58544921875	0.0:5863.17089844	0.00485569	-0.0337294	0.000407339
-74.5822482638889	-74.70703125:-74.4574652778	-32.7174909975098	-32.8420793029:-32.5929026921	20200205120000	20200205000000:20200206000000	2931.58544921875	0.0:5863.17089844	-0.0105852	0.00767822	0.00040728
-74.5822482638889	-74.70703125:-74.4574652778	-20.7570136806737	-20.8816019861:-20.6324253753	20200223120000	20200223000000:20200224000000	2931.58544921875	0.0:5863.17089844	-0.00636735	-0.0172953	0.000408861
-74.5822482638889	-74.70703125:-74.4574652778	-20.5078370699063	-20.6324253753:-20.3832487645	20200223120000	20200223000000:20200224000000	2931.58544921875	0.0:5863.17089844	0.00606573	-0.00132829	0.000408635
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20200223120000	20200223000000:20200224000000	2931.58544921875	0.0:5863.17089844	0.00643286	-0.000416745	0.000408247
-74.5822482638889	-74.70703125:-74.4574652778	-20.0094838483714	-20.1340721538:-19.884895543	20200223120000	20200223000000:20200224000000	2931.58544921875	0.0:5863.17089844	0.00654135	-0.005489	0.00040883
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20200214120000	20200214000000:20200215000000	2931.58544921875	0.0:5863.17089844	0.0398865	0.0249634	0.000404674
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20200223120000	20200223000000:20200224000000	2931.58544921875	0.0:5863.17089844	0.00451791	-0.00200153	0.000408978
