longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-33.7141974405794	-33.838785746:-33.5896091352	20200714120000	20200714000000:20200715000000	2979.66772460938	0.0:5959.33544922	0.00811024	-0.0100284	0.000410917
-74.5822482638889	-74.70703125:-74.4574652778	-33.465020829812	-33.5896091352:-33.3404325244	20200714120000	20200714000000:20200715000000	2979.66772460938	0.0:5959.33544922	0.00281169	-0.00610733	0.000410933
-74.5822482638889	-74.70703125:-74.4574652778	-33.2158442190446	-33.3404325244:-33.0912559137	20200714120000	20200714000000:20200715000000	2979.66772460938	0.0:5959.33544922	0.00900635	-0.0113776	0.000410751
-74.5822482638889	-74.70703125:-74.4574652778	-32.9666676082772	-33.0912559137:-32.8420793029	20200714120000	20200714000000:20200715000000	2979.66772460938	0.0:5959.33544922	0.00514439	-0.00150681	0.000410454
-74.5822482638889	-74.70703125:-74.4574652778	-27.484782171394	-27.6093704768:-27.360193866	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	-0.000701904	0.000213623	0.000409614
-74.5822482638889	-74.70703125:-74.4574652778	-27.2356055606266	-27.360193866:-27.1110172552	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	-0.216125	-999999	0.000410816
-74.5822482638889	-74.70703125:-74.4574652778	-26.9864289498591	-27.1110172552:-26.8618406445	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	0.0012207	-0.0134379	0.000410131
-74.5822482638889	-74.70703125:-74.4574652778	-26.7372523390917	-26.8618406445:-26.6126640337	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	0.00852458	0.162008	0.00041131
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	-0.0109117	-0.00519671	0.000411085
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20200730120000	20200730000000:20200731000000	2979.66772460938	0.0:5959.33544922	0.0635986	-999999	0.000406188
-74.5822482638889	-74.70703125:-74.4574652778	-26.2388991175569	-26.3634874229:-26.1143108122	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	-0.00562744	-0.00603376	0.000409195
-74.5822482638889	-74.70703125:-74.4574652778	-26.2388991175569	-26.3634874229:-26.1143108122	20200730120000	20200730000000:20200731000000	2979.66772460938	0.0:5959.33544922	0.0888875	-0.0868123	0.000399764
-74.5822482638889	-74.70703125:-74.4574652778	-25.9897225067895	-26.1143108122:-25.8651342014	20200707120000	20200707000000:20200708000000	2979.66772460938	0.0:5959.33544922	-0.0371704	0.110291	0.000408269
-74.5822482638889	-74.70703125:-74.4574652778	-25.9897225067895	-26.1143108122:-25.8651342014	20200730120000	20200730000000:20200731000000	2979.66772460938	0.0:5959.33544922	-0.211243	0.219055	0.000389982
-74.5822482638889	-74.70703125:-74.4574652778	-25.740545896022	-25.8651342014:-25.6159575906	20200730120000	20200730000000:20200731000000	2979.66772460938	0.0:5959.33544922	-0.0528361	0.00811768	0.000406201
-74.5822482638889	-74.70703125:-74.4574652778	-13.5308919684185	-13.6554802738:-13.406303663	20200716120000	20200716000000:20200717000000	2979.66772460938	0.0:5959.33544922	0.0114746	0.00415039	0.000409417
-74.5822482638889	-74.70703125:-74.4574652778	-12.7833621361163	-12.9079504415:-12.6587738307	20200725120000	20200725000000:20200726000000	2979.66772460938	0.0:5959.33544922	0.0133667	0.14917	0.000399219
-74.5822482638889	-74.70703125:-74.4574652778	-12.5341855253489	-12.6587738307:-12.40959722	20200716120000	20200716000000:20200717000000	2979.66772460938	0.0:5959.33544922	0.0115213	0.0279649	0.000409034
-74.5822482638889	-74.70703125:-74.4574652778	-12.5341855253489	-12.6587738307:-12.40959722	20200725120000	20200725000000:20200726000000	2979.66772460938	0.0:5959.33544922	0.0153809	-0.0163981	0.00040519
