longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-26.9864289498591	-27.1110172552:-26.8618406445	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	0.0090332	-0.0776978	0.000398588
-74.5822482638889	-74.70703125:-74.4574652778	-26.7372523390917	-26.8618406445:-26.6126640337	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	0.0137781	-0.110986	0.000402599
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	0.0104632	-0.0148163	0.000403204
-74.5822482638889	-74.70703125:-74.4574652778	-25.9897225067895	-26.1143108122:-25.8651342014	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	-0.00952945	0.483877	0.000403276
-74.5822482638889	-74.70703125:-74.4574652778	-25.740545896022	-25.8651342014:-25.6159575906	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	-0.10675	-999999	0.000400477
-74.5822482638889	-74.70703125:-74.4574652778	-25.4913692852546	-25.6159575906:-25.3667809799	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	-0.0100708	-0.0769287	0.000405894
-74.5822482638889	-74.70703125:-74.4574652778	-25.2421926744872	-25.3667809799:-25.1176043691	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	-0.0327377	0.00602504	0.000404923
-74.5822482638889	-74.70703125:-74.4574652778	-0.57370820851277	-0.698296513896:-0.449119903129	20200101120000	20200101000000:20200102000000	3180.20825195312	0.0:6360.41650391	0.0192797	0.0121356	0.000409821
-74.5822482638889	-74.70703125:-74.4574652778	-0.324531597745349	-0.449119903129:-0.199943292362	20200101120000	20200101000000:20200102000000	3180.20825195312	0.0:6360.41650391	0.0185337	0.013559	0.000409733
-74.5822482638889	-74.70703125:-74.4574652778	-0.0753549869779313	-0.199943292362:0.0492333184058	20200101120000	20200101000000:20200102000000	3180.20825195312	0.0:6360.41650391	0.0183334	0.011451	0.000409409
-74.3326822916667	-74.4574652778:-74.2078993056	-28.7306652252311	-28.8552535306:-28.6060769198	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	0.0127563	0.0625305	0.000399968
-74.3326822916667	-74.4574652778:-74.2078993056	-28.4814886144637	-28.6060769198:-28.3569003091	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	0.00191825	0.0459333	0.000399374
-74.3326822916667	-74.4574652778:-74.2078993056	-28.2323120036962	-28.3569003091:-28.1077236983	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	-0.0115269	0.0736413	0.000400699
-74.3326822916667	-74.4574652778:-74.2078993056	-26.4880757283243	-26.6126640337:-26.3634874229	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	0.018514	-0.0227356	0.00040266
-74.3326822916667	-74.4574652778:-74.2078993056	-25.9897225067895	-26.1143108122:-25.8651342014	20200120120000	20200120000000:20200121000000	3180.20825195312	0.0:6360.41650391	-0.0105835	0.000508626	0.00040371
-74.0831163194444	-74.2078993056:-73.9583333333	-29.7273716683007	-29.8519599737:-29.6027833629	20200129120000	20200129000000:20200130000000	3180.20825195312	0.0:6360.41650391	-0.0132882	0.0205219	0.000400893
