longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-32.7174909975098	-32.8420793029:-32.5929026921	20150403120000	20150403000000:20150404000000	3056.3515625	0.0:6112.703125	0.0108032	0.983676	0.000386132
-74.5822482638889	-74.70703125:-74.4574652778	-32.4683143867424	-32.5929026921:-32.3437260814	20150403120000	20150403000000:20150404000000	3056.3515625	0.0:6112.703125	0.0199585	0.0280151	0.000393638
-74.5822482638889	-74.70703125:-74.4574652778	-21.0061902914411	-21.1307785968:-20.8816019861	20150414120000	20150414000000:20150415000000	3056.3515625	0.0:6112.703125	0.00714111	-6.10352e-05	0.000383107
-74.5822482638889	-74.70703125:-74.4574652778	-20.7570136806737	-20.8816019861:-20.6324253753	20150414120000	20150414000000:20150415000000	3056.3515625	0.0:6112.703125	-0.0012207	0.00527954	0.000389854
-74.5822482638889	-74.70703125:-74.4574652778	-14.7767750222556	-14.9013633276:-14.6521867169	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.0137939	0.242664	0.000379645
-74.5822482638889	-74.70703125:-74.4574652778	-14.5275984114882	-14.6521867169:-14.4030101061	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.00929857	0.00901993	0.000387358
-74.5822482638889	-74.70703125:-74.4574652778	-14.2784218007208	-14.4030101061:-14.1538334953	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.0221533	0.0074939	0.000388254
-74.5822482638889	-74.70703125:-74.4574652778	-14.0292451899534	-14.1538334953:-13.9046568846	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.0173743	0.00777219	0.000389663
-74.5822482638889	-74.70703125:-74.4574652778	-13.780068579186	-13.9046568846:-13.6554802738	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.017753	0.00806028	0.00038941
-74.5822482638889	-74.70703125:-74.4574652778	-13.5308919684185	-13.6554802738:-13.406303663	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.0133134	0.00630057	0.000389455
-74.5822482638889	-74.70703125:-74.4574652778	-13.2817153576511	-13.406303663:-13.1571270523	20150407120000	20150407000000:20150408000000	3056.3515625	0.0:6112.703125	0.0108337	-0.0132294	0.000389489
-74.5822482638889	-74.70703125:-74.4574652778	-7.05230008846565	-7.17688839385:-6.92771178308	20150416120000	20150416000000:20150417000000	3056.3515625	0.0:6112.703125	0.0258179	0.0183716	0.00039709
-74.5822482638889	-74.70703125:-74.4574652778	-6.80312347769823	-6.92771178308:-6.67853517231	20150416120000	20150416000000:20150417000000	3056.3515625	0.0:6112.703125	0.00732422	0.0131226	0.000396273
-74.5822482638889	-74.70703125:-74.4574652778	0.173821623789486	0.0492333184058:0.298409929173	20150409120000	20150409000000:20150410000000	3056.3515625	0.0:6112.703125	0.0224121	0.0137817	0.000398396
