longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-32.2191377759749	-32.3437260814:-32.0945494706	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	-999999	-0.00457764	0.000399516
-74.5822482638889	-74.70703125:-74.4574652778	-31.9699611652075	-32.0945494706:-31.8453728598	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.00906372	-0.277893	0.000398456
-74.5822482638889	-74.70703125:-74.4574652778	-31.4716079436727	-31.5961962491:-31.3470196383	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.0253906	-0.031189	0.00039461
-74.5822482638889	-74.70703125:-74.4574652778	-28.2323120036962	-28.3569003091:-28.1077236983	20191228120000	20191228000000:20191229000000	3034.82348632812	0.0:6069.64697266	-0.00269775	-0.0179077	0.000399775
-74.5822482638889	-74.70703125:-74.4574652778	-27.9831353929288	-28.1077236983:-27.8585470875	20191228120000	20191228000000:20191229000000	3034.82348632812	0.0:6069.64697266	0.0139465	-0.00088501	0.000398282
-74.5822482638889	-74.70703125:-74.4574652778	-22.5012499560456	-22.6258382614:-22.3766616507	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.00512695	0.160421	0.000398254
-74.5822482638889	-74.70703125:-74.4574652778	-22.2520733452782	-22.3766616507:-22.1274850399	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.0170201	0.0466309	0.000396962
-74.5822482638889	-74.70703125:-74.4574652778	-22.0028967345108	-22.1274850399:-21.8783084291	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.00439453	0.0820923	0.000399479
-74.5822482638889	-74.70703125:-74.4574652778	-21.7537201237434	-21.8783084291:-21.6291318184	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.0202026	-0.00646973	0.000395434
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	0.0126682	-0.00699192	0.000400299
-74.5822482638889	-74.70703125:-74.4574652778	-19.5111306268366	-19.6357189322:-19.3865423215	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	0.0296936	-0.06427	0.000403814
-74.5822482638889	-74.70703125:-74.4574652778	-16.2718346868601	-16.3964229922:-16.1472463815	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00915527	-0.0530802	0.000409169
-74.5822482638889	-74.70703125:-74.4574652778	-16.0226580760927	-16.1472463815:-15.8980697707	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00440688	-0.00633087	0.000408899
-74.5822482638889	-74.70703125:-74.4574652778	-15.7734814653253	-15.8980697707:-15.6488931599	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00745824	0.00544832	0.000409758
-74.5822482638889	-74.70703125:-74.4574652778	-15.5243048545579	-15.6488931599:-15.3997165492	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00920532	0.000609741	0.000409872
-74.5822482638889	-74.70703125:-74.4574652778	-15.2751282437905	-15.3997165492:-15.1505399384	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.0120058	-0.0153462	0.00040505
-74.5822482638889	-74.70703125:-74.4574652778	-15.0259516330231	-15.1505399384:-14.9013633276	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.013502	-0.000563912	0.000404987
-74.5822482638889	-74.70703125:-74.4574652778	-13.2817153576511	-13.406303663:-13.1571270523	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.181763	0.0162964	0.000390932
-74.5822482638889	-74.70703125:-74.4574652778	-12.7833621361163	-12.9079504415:-12.6587738307	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.0166016	0.00671387	0.00040229
-74.5822482638889	-74.70703125:-74.4574652778	-8.54735975307016	-8.67194805845:-8.42277144769	20191207120000	20191207000000:20191208000000	3034.82348632812	0.0:6069.64697266	-999999	0.00799561	0.000410492
-74.3326822916667	-74.4574652778:-74.2078993056	-33.2158442190446	-33.3404325244:-33.0912559137	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.0194092	-0.0101929	0.000403942
-74.3326822916667	-74.4574652778:-74.2078993056	-32.9666676082772	-33.0912559137:-32.8420793029	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.012797	0.00537109	0.00040212
-74.3326822916667	-74.4574652778:-74.2078993056	-32.7174909975098	-32.8420793029:-32.5929026921	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.0397339	0.0762329	0.000399683
-74.3326822916667	-74.4574652778:-74.2078993056	-32.4683143867424	-32.5929026921:-32.3437260814	20191226120000	20191226000000:20191227000000	3034.82348632812	0.0:6069.64697266	0.0914795	0.0457611	0.000400375
-74.3326822916667	-74.4574652778:-74.2078993056	-28.9798418359985	-29.1044301414:-28.8552535306	20191228120000	20191228000000:20191229000000	3034.82348632812	0.0:6069.64697266	-999999	0.00976562	0.000397292
-74.3326822916667	-74.4574652778:-74.2078993056	-27.2356055606266	-27.360193866:-27.1110172552	20191219120000	20191219000000:20191220000000	3034.82348632812	0.0:6069.64697266	0.0050354	-0.15036	0.000397415
-74.3326822916667	-74.4574652778:-74.2078993056	-26.9864289498591	-27.1110172552:-26.8618406445	20191219120000	20191219000000:20191220000000	3034.82348632812	0.0:6069.64697266	0.0128784	0.00506592	0.000399653
-74.3326822916667	-74.4574652778:-74.2078993056	-23.7471330098827	-23.8717213153:-23.6225447045	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.0198975	0.0068108	0.00040265
-74.3326822916667	-74.4574652778:-74.2078993056	-23.4979563991153	-23.6225447045:-23.3733680937	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.00908972	-0.0101651	0.000402299
-74.3326822916667	-74.4574652778:-74.2078993056	-23.2487797883479	-23.3733680937:-23.124191483	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.00127411	-0.0439796	0.000401563
-74.3326822916667	-74.4574652778:-74.2078993056	-22.9996031775804	-23.124191483:-22.8750148722	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.01314	-0.00436401	0.000400262
-74.3326822916667	-74.4574652778:-74.2078993056	-21.2553669022085	-21.3799552076:-21.1307785968	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	0.026123	0.0543823	0.000395636
-74.3326822916667	-74.4574652778:-74.2078993056	-21.0061902914411	-21.1307785968:-20.8816019861	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	-0.0154016	-0.118525	0.000405607
-74.3326822916667	-74.4574652778:-74.2078993056	-20.7570136806737	-20.8816019861:-20.6324253753	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	-0.0299405	-0.066084	0.000403586
-74.3326822916667	-74.4574652778:-74.2078993056	-20.5078370699063	-20.6324253753:-20.3832487645	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	-0.00391251	-0.0136528	0.000406064
-74.3326822916667	-74.4574652778:-74.2078993056	-20.2586604591388	-20.3832487645:-20.1340721538	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	-0.0232086	-0.00662231	0.000400417
-74.3326822916667	-74.4574652778:-74.2078993056	-17.2685411299298	-17.3931294353:-17.1439528245	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	-0.00435215	-0.0150079	0.000408496
-74.3326822916667	-74.4574652778:-74.2078993056	-17.0193645191624	-17.1439528245:-16.8947762138	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	-0.00088684	0.010953	0.000408279
-74.3326822916667	-74.4574652778:-74.2078993056	-16.770187908395	-16.8947762138:-16.645599603	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00994934	-0.00723864	0.000408318
-74.3326822916667	-74.4574652778:-74.2078993056	-16.5210112976276	-16.645599603:-16.3964229922	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.0104027	-0.00691492	0.000407693
-74.3326822916667	-74.4574652778:-74.2078993056	-16.2718346868601	-16.3964229922:-16.1472463815	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00990417	0.00342751	0.000407758
-74.3326822916667	-74.4574652778:-74.2078993056	-16.0226580760927	-16.1472463815:-15.8980697707	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.0063324	-0.00472107	0.000409408
-74.3326822916667	-74.4574652778:-74.2078993056	-13.780068579186	-13.9046568846:-13.6554802738	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.0111186	0.0311279	0.000394436
-74.3326822916667	-74.4574652778:-74.2078993056	-13.5308919684185	-13.6554802738:-13.406303663	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.00783793	0.00320943	0.000400046
-74.0831163194444	-74.2078993056:-73.9583333333	-24.7438394529524	-24.8684277583:-24.6192511476	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.0108303	0.105326	0.000402476
-74.0831163194444	-74.2078993056:-73.9583333333	-24.494662842185	-24.6192511476:-24.3700745368	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.00118703	-0.129471	0.00040221
-74.0831163194444	-74.2078993056:-73.9583333333	-24.2454862314175	-24.3700745368:-24.120897926	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.00523003	0.0588009	0.000402337
-74.0831163194444	-74.2078993056:-73.9583333333	-23.9963096206501	-24.120897926:-23.8717213153	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.00787806	0.00916191	0.000403428
-74.0831163194444	-74.2078993056:-73.9583333333	-23.7471330098827	-23.8717213153:-23.6225447045	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	-0.00652763	-0.0118075	0.000403024
-74.0831163194444	-74.2078993056:-73.9583333333	-23.4979563991153	-23.6225447045:-23.3733680937	20191221120000	20191221000000:20191222000000	3034.82348632812	0.0:6069.64697266	0.0163574	-0.00408936	0.000402867
-74.0831163194444	-74.2078993056:-73.9583333333	-21.7537201237434	-21.8783084291:-21.6291318184	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	-0.0191492	-0.0411631	0.000403059
-74.0831163194444	-74.2078993056:-73.9583333333	-21.5045435129759	-21.6291318184:-21.3799552076	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	0.0214742	0.00210571	0.000401678
-74.0831163194444	-74.2078993056:-73.9583333333	-21.2553669022085	-21.3799552076:-21.1307785968	20191212120000	20191212000000:20191213000000	3034.82348632812	0.0:6069.64697266	0.00537109	-999999	0.000398227
-74.0831163194444	-74.2078993056:-73.9583333333	-17.5177177406972	-17.6423060461:-17.3931294353	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	0.00599598	0.00511732	0.000408133
-74.0831163194444	-74.2078993056:-73.9583333333	-17.2685411299298	-17.3931294353:-17.1439528245	20191214120000	20191214000000:20191215000000	3034.82348632812	0.0:6069.64697266	-0.001054	-0.00273558	0.000408283
-74.0831163194444	-74.2078993056:-73.9583333333	-15.7734814653253	-15.8980697707:-15.6488931599	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.0123291	0.0057373	0.000407902
-74.0831163194444	-74.2078993056:-73.9583333333	-15.0259516330231	-15.1505399384:-14.9013633276	20191205120000	20191205000000:20191206000000	3034.82348632812	0.0:6069.64697266	0.00818743	-0.000584193	0.00039584
