longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-29.4781950575333	-29.6027833629:-29.3536067521	20171222120000	20171222000000:20171223000000	3219.5263671875	0.0:6439.05273438	-0.00698853	-0.00698853	0.000395275
-74.5822482638889	-74.70703125:-74.4574652778	-28.9798418359985	-29.1044301414:-28.8552535306	20171222120000	20171222000000:20171223000000	3219.5263671875	0.0:6439.05273438	0.00571899	0.00217692	0.000393991
-74.5822482638889	-74.70703125:-74.4574652778	-28.7306652252311	-28.8552535306:-28.6060769198	20171222120000	20171222000000:20171223000000	3219.5263671875	0.0:6439.05273438	-0.0169312	-0.0170288	0.000390638
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20171213120000	20171213000000:20171214000000	3219.5263671875	0.0:6439.05273438	0.0161743	0.00897217	0.000398884
-74.5822482638889	-74.70703125:-74.4574652778	-25.740545896022	-25.8651342014:-25.6159575906	20171213120000	20171213000000:20171214000000	3219.5263671875	0.0:6439.05273438	0.0222914	-0.00566755	0.000399821
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20171206120000	20171206000000:20171207000000	3219.5263671875	0.0:6439.05273438	-0.0309855	-0.037793	0.000398085
-74.5822482638889	-74.70703125:-74.4574652778	-20.0094838483714	-20.1340721538:-19.884895543	20171206120000	20171206000000:20171207000000	3219.5263671875	0.0:6439.05273438	0.0297614	-0.0246618	0.000398207
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20171206120000	20171206000000:20171207000000	3219.5263671875	0.0:6439.05273438	0.00508202	-0.0895134	0.000402469
-74.5822482638889	-74.70703125:-74.4574652778	-19.5111306268366	-19.6357189322:-19.3865423215	20171206120000	20171206000000:20171207000000	3219.5263671875	0.0:6439.05273438	0.0104289	0.00257874	0.000391554
-74.5822482638889	-74.70703125:-74.4574652778	-19.2619540160692	-19.3865423215:-19.1373657107	20171206120000	20171206000000:20171207000000	3219.5263671875	0.0:6439.05273438	0.0252441	0.0150879	0.000399005
-74.5822482638889	-74.70703125:-74.4574652778	-16.0226580760927	-16.1472463815:-15.8980697707	20171208120000	20171208000000:20171209000000	3219.5263671875	0.0:6439.05273438	0.0098906	-0.00294575	0.000401371
-74.5822482638889	-74.70703125:-74.4574652778	-15.7734814653253	-15.8980697707:-15.6488931599	20171208120000	20171208000000:20171209000000	3219.5263671875	0.0:6439.05273438	0.00363215	0.000124374	0.000401547
-74.5822482638889	-74.70703125:-74.4574652778	-15.5243048545579	-15.6488931599:-15.3997165492	20171208120000	20171208000000:20171209000000	3219.5263671875	0.0:6439.05273438	0.0259361	0.000225067	0.000399538
-74.5822482638889	-74.70703125:-74.4574652778	-8.79653636383758	-8.92112466922:-8.67194805845	20171201120000	20171201000000:20171202000000	3219.5263671875	0.0:6439.05273438	0.0150757	0.00787354	0.000402441
-74.5822482638889	-74.70703125:-74.4574652778	0.921351456091742	0.796763150708:1.04593976148	20171217120000	20171217000000:20171218000000	3219.5263671875	0.0:6439.05273438	0.0202201	0.0125645	0.000402403
-74.5822482638889	-74.70703125:-74.4574652778	1.17052806685916	1.04593976148:1.29511637224	20171217120000	20171217000000:20171218000000	3219.5263671875	0.0:6439.05273438	0.0176562	0.0116101	0.000401523
-74.5822482638889	-74.70703125:-74.4574652778	1.41970467762658	1.29511637224:1.54429298301	20171217120000	20171217000000:20171218000000	3219.5263671875	0.0:6439.05273438	0.0179085	0.0118321	0.000401869
-74.5822482638889	-74.70703125:-74.4574652778	1.668881288394	1.54429298301:1.79346959378	20171217120000	20171217000000:20171218000000	3219.5263671875	0.0:6439.05273438	0.0174119	0.0111413	0.000401795
-74.5822482638889	-74.70703125:-74.4574652778	1.91805789916142	1.79346959378:2.04264620455	20171217120000	20171217000000:20171218000000	3219.5263671875	0.0:6439.05273438	0.0173728	0.011256	0.000402023
-74.5822482638889	-74.70703125:-74.4574652778	4.90817722837044	4.78358892299:5.03276553375	20171219120000	20171219000000:20171220000000	3219.5263671875	0.0:6439.05273438	0.0189514	0.0170492	0.000400495
-74.5822482638889	-74.70703125:-74.4574652778	5.15735383913786	5.03276553375:5.28194214452	20171219120000	20171219000000:20171220000000	3219.5263671875	0.0:6439.05273438	0.0186813	0.0113299	0.000402626
-74.5822482638889	-74.70703125:-74.4574652778	5.40653044990528	5.28194214452:5.53111875529	20171219120000	20171219000000:20171220000000	3219.5263671875	0.0:6439.05273438	0.0175863	0.0102885	0.000402772
-74.5822482638889	-74.70703125:-74.4574652778	5.6557070606727	5.53111875529:5.78029536606	20171219120000	20171219000000:20171220000000	3219.5263671875	0.0:6439.05273438	0.0157013	0.0110657	0.000402243
-74.3326822916667	-74.4574652778:-74.2078993056	-33.465020829812	-33.5896091352:-33.3404325244	20171220120000	20171220000000:20171221000000	3219.5263671875	0.0:6439.05273438	0.0133464	0.00744629	0.000399593
-74.3326822916667	-74.4574652778:-74.2078993056	-33.2158442190446	-33.3404325244:-33.0912559137	20171220120000	20171220000000:20171221000000	3219.5263671875	0.0:6439.05273438	1.04131	-0.00642395	0.000398441
-74.3326822916667	-74.4574652778:-74.2078993056	-30.7240781113704	-30.8486664168:-30.599489806	20171222120000	20171222000000:20171223000000	3219.5263671875	0.0:6439.05273438	-0.0258825	-0.0580119	0.000401645
