longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-32.9666676082772	-33.0912559137:-32.8420793029	20171118120000	20171118000000:20171119000000	3083.31567382812	0.0:6166.63134766	0.0111694	0.0152283	0.00039477
-74.5822482638889	-74.70703125:-74.4574652778	-32.7174909975098	-32.8420793029:-32.5929026921	20171118120000	20171118000000:20171119000000	3083.31567382812	0.0:6166.63134766	0.110613	-0.0138506	0.000394528
-74.5822482638889	-74.70703125:-74.4574652778	-32.4683143867424	-32.5929026921:-32.3437260814	20171118120000	20171118000000:20171119000000	3083.31567382812	0.0:6166.63134766	0.00011981	0.0261897	0.000395775
-74.5822482638889	-74.70703125:-74.4574652778	-32.2191377759749	-32.3437260814:-32.0945494706	20171118120000	20171118000000:20171119000000	3083.31567382812	0.0:6166.63134766	0.0186924	-0.00665838	0.000393692
-74.5822482638889	-74.70703125:-74.4574652778	-31.9699611652075	-32.0945494706:-31.8453728598	20171118120000	20171118000000:20171119000000	3083.31567382812	0.0:6166.63134766	0.0188647	0.0470358	0.000395066
-74.5822482638889	-74.70703125:-74.4574652778	-30.9732547221378	-31.0978430275:-30.8486664168	20171120120000	20171120000000:20171121000000	3083.31567382812	0.0:6166.63134766	-0.016782	-0.128825	0.00039937
-74.5822482638889	-74.70703125:-74.4574652778	-30.7240781113704	-30.8486664168:-30.599489806	20171120120000	20171120000000:20171121000000	3083.31567382812	0.0:6166.63134766	0.00466309	0.00747681	0.000398221
-74.5822482638889	-74.70703125:-74.4574652778	-17.0193645191624	-17.1439528245:-16.8947762138	20171106120000	20171106000000:20171107000000	3083.31567382812	0.0:6166.63134766	0.0119266	0.0119812	0.000399112
-74.5822482638889	-74.70703125:-74.4574652778	-16.770187908395	-16.8947762138:-16.645599603	20171106120000	20171106000000:20171107000000	3083.31567382812	0.0:6166.63134766	-0.00914469	0.00144775	0.00039866
-74.5822482638889	-74.70703125:-74.4574652778	-16.5210112976276	-16.645599603:-16.3964229922	20171106120000	20171106000000:20171107000000	3083.31567382812	0.0:6166.63134766	0.00907143	0.0234474	0.000400961
