longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-32.7174909975098	-32.8420793029:-32.5929026921	20141009120000	20141009000000:20141010000000	3154.64892578125	0.0:6309.29785156	-0.0154419	0.00915527	0.000371622
-74.5822482638889	-74.70703125:-74.4574652778	-32.4683143867424	-32.5929026921:-32.3437260814	20141009120000	20141009000000:20141010000000	3154.64892578125	0.0:6309.29785156	-0.068634	0.025177	0.000378757
-74.5822482638889	-74.70703125:-74.4574652778	-32.2191377759749	-32.3437260814:-32.0945494706	20141009120000	20141009000000:20141010000000	3154.64892578125	0.0:6309.29785156	-0.00543213	0.0783081	0.000388593
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20141018120000	20141018000000:20141019000000	3154.64892578125	0.0:6309.29785156	-0.0467529	-0.229533	0.000386355
-74.5822482638889	-74.70703125:-74.4574652778	-26.2388991175569	-26.3634874229:-26.1143108122	20141018120000	20141018000000:20141019000000	3154.64892578125	0.0:6309.29785156	0.0265978	0.2817	0.00038256
-74.5822482638889	-74.70703125:-74.4574652778	-25.9897225067895	-26.1143108122:-25.8651342014	20141018120000	20141018000000:20141019000000	3154.64892578125	0.0:6309.29785156	0.00249736	-0.0263283	0.000386432
-74.5822482638889	-74.70703125:-74.4574652778	-21.0061902914411	-21.1307785968:-20.8816019861	20141011120000	20141011000000:20141012000000	3154.64892578125	0.0:6309.29785156	0.000204904	0.000575474	0.000383557
-74.5822482638889	-74.70703125:-74.4574652778	-20.7570136806737	-20.8816019861:-20.6324253753	20141011120000	20141011000000:20141012000000	3154.64892578125	0.0:6309.29785156	-0.0203925	-0.0016298	0.000386917
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20141011120000	20141011000000:20141012000000	3154.64892578125	0.0:6309.29785156	0.00109863	0.0192261	0.000377685
-74.5822482638889	-74.70703125:-74.4574652778	-16.5210112976276	-16.645599603:-16.3964229922	20141029120000	20141029000000:20141030000000	3154.64892578125	0.0:6309.29785156	-0.00625756	-0.0742754	0.000392113
-74.5822482638889	-74.70703125:-74.4574652778	-16.2718346868601	-16.3964229922:-16.1472463815	20141029120000	20141029000000:20141030000000	3154.64892578125	0.0:6309.29785156	0.000264152	0.0149268	0.000392845
-74.5822482638889	-74.70703125:-74.4574652778	-16.0226580760927	-16.1472463815:-15.8980697707	20141029120000	20141029000000:20141030000000	3154.64892578125	0.0:6309.29785156	2.63673e-05	0.0140333	0.000395014
