longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-33.7141974405794	-33.838785746:-33.5896091352	20180130120000	20180130000000:20180131000000	2951.56274414062	0.0:5903.12548828	0.00457552	0.01171	0.000402143
-74.5822482638889	-74.70703125:-74.4574652778	-33.465020829812	-33.5896091352:-33.3404325244	20180130120000	20180130000000:20180131000000	2951.56274414062	0.0:5903.12548828	-6.51039e-05	0.00231265	0.000402042
-74.5822482638889	-74.70703125:-74.4574652778	-33.2158442190446	-33.3404325244:-33.0912559137	20180130120000	20180130000000:20180131000000	2951.56274414062	0.0:5903.12548828	0.00351132	0.0735943	0.000401621
-74.5822482638889	-74.70703125:-74.4574652778	-28.2323120036962	-28.3569003091:-28.1077236983	20180123120000	20180123000000:20180124000000	2951.56274414062	0.0:5903.12548828	-0.0440999	0.0630728	0.000401612
-74.5822482638889	-74.70703125:-74.4574652778	-27.9831353929288	-28.1077236983:-27.8585470875	20180123120000	20180123000000:20180124000000	2951.56274414062	0.0:5903.12548828	0.00174345	0.00435281	0.000400416
-74.5822482638889	-74.70703125:-74.4574652778	-27.7339587821614	-27.8585470875:-27.6093704768	20180123120000	20180123000000:20180124000000	2951.56274414062	0.0:5903.12548828	0.0014801	-0.00942939	0.000401227
-74.5822482638889	-74.70703125:-74.4574652778	-26.9864289498591	-27.1110172552:-26.8618406445	20180123120000	20180123000000:20180124000000	2951.56274414062	0.0:5903.12548828	0.0510559	-0.00531006	0.000393994
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20180114120000	20180114000000:20180115000000	2951.56274414062	0.0:5903.12548828	-0.0331879	0.0354462	0.00039445
-74.5822482638889	-74.70703125:-74.4574652778	-26.2388991175569	-26.3634874229:-26.1143108122	20180114120000	20180114000000:20180115000000	2951.56274414062	0.0:5903.12548828	-0.092631	-0.000406901	0.000394187
-74.5822482638889	-74.70703125:-74.4574652778	-25.740545896022	-25.8651342014:-25.6159575906	20180114120000	20180114000000:20180115000000	2951.56274414062	0.0:5903.12548828	-999999	-999999	0.0003896
-74.5822482638889	-74.70703125:-74.4574652778	-21.5045435129759	-21.6291318184:-21.3799552076	20180116120000	20180116000000:20180117000000	2951.56274414062	0.0:5903.12548828	0.00491864	0.0673024	0.000394528
