longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-33.7141974405794	-33.838785746:-33.5896091352	20200308120000	20200308000000:20200309000000	2986.7392578125	0.0:5973.47851562	0.0131232	-0.00440543	0.000409293
-74.5822482638889	-74.70703125:-74.4574652778	-33.465020829812	-33.5896091352:-33.3404325244	20200308120000	20200308000000:20200309000000	2986.7392578125	0.0:5973.47851562	0.0159201	0.0121293	0.00040868
-74.5822482638889	-74.70703125:-74.4574652778	-33.2158442190446	-33.3404325244:-33.0912559137	20200308120000	20200308000000:20200309000000	2986.7392578125	0.0:5973.47851562	0.0202156	-0.0041843	0.000408133
-74.5822482638889	-74.70703125:-74.4574652778	-32.9666676082772	-33.0912559137:-32.8420793029	20200308120000	20200308000000:20200309000000	2986.7392578125	0.0:5973.47851562	-999999	-999999	0.000416281
-74.5822482638889	-74.70703125:-74.4574652778	-32.4683143867424	-32.5929026921:-32.3437260814	20200331120000	20200331000000:20200401000000	2986.7392578125	0.0:5973.47851562	0.0251465	-0.0220744	0.000403197
-74.5822482638889	-74.70703125:-74.4574652778	-32.2191377759749	-32.3437260814:-32.0945494706	20200331120000	20200331000000:20200401000000	2986.7392578125	0.0:5973.47851562	0.00239563	0.0815023	0.000402669
-74.5822482638889	-74.70703125:-74.4574652778	-31.9699611652075	-32.0945494706:-31.8453728598	20200331120000	20200331000000:20200401000000	2986.7392578125	0.0:5973.47851562	-0.00853528	0.279683	0.000403999
-74.5822482638889	-74.70703125:-74.4574652778	-31.7207845544401	-31.8453728598:-31.5961962491	20200331120000	20200331000000:20200401000000	2986.7392578125	0.0:5973.47851562	0.0120443	0.0539739	0.000402236
-74.5822482638889	-74.70703125:-74.4574652778	-31.4716079436727	-31.5961962491:-31.3470196383	20200331120000	20200331000000:20200401000000	2986.7392578125	0.0:5973.47851562	0.0028305	-0.0268032	0.000400911
-74.5822482638889	-74.70703125:-74.4574652778	-26.4880757283243	-26.6126640337:-26.3634874229	20200324120000	20200324000000:20200325000000	2986.7392578125	0.0:5973.47851562	0.0148315	-0.125977	0.000400638
-74.5822482638889	-74.70703125:-74.4574652778	-26.2388991175569	-26.3634874229:-26.1143108122	20200324120000	20200324000000:20200325000000	2986.7392578125	0.0:5973.47851562	-0.0601807	0.0219116	0.000394636
-74.5822482638889	-74.70703125:-74.4574652778	-25.740545896022	-25.8651342014:-25.6159575906	20200324120000	20200324000000:20200325000000	2986.7392578125	0.0:5973.47851562	-999999	0.463928	0.000389886
-74.5822482638889	-74.70703125:-74.4574652778	-21.0061902914411	-21.1307785968:-20.8816019861	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	0.00525397	0.00472722	0.000408081
-74.5822482638889	-74.70703125:-74.4574652778	-20.7570136806737	-20.8816019861:-20.6324253753	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	-0.00325042	0.00273786	0.000407867
-74.5822482638889	-74.70703125:-74.4574652778	-20.5078370699063	-20.6324253753:-20.3832487645	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	0.000400736	-0.00216606	0.000408254
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	0.00110132	0.00675965	0.000408394
-74.5822482638889	-74.70703125:-74.4574652778	-20.0094838483714	-20.1340721538:-19.884895543	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	0.00451105	0.00143619	0.0004083
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20200317120000	20200317000000:20200318000000	2986.7392578125	0.0:5973.47851562	0.0697784	0.0018514	0.000411804
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20200326120000	20200326000000:20200327000000	2986.7392578125	0.0:5973.47851562	0.00560303	-0.00405273	0.000408521
-74.5822482638889	-74.70703125:-74.4574652778	-19.5111306268366	-19.6357189322:-19.3865423215	20200317120000	20200317000000:20200318000000	2986.7392578125	0.0:5973.47851562	-0.0487807	0.0408859	0.000407417
-74.5822482638889	-74.70703125:-74.4574652778	-13.0325387468837	-13.1571270523:-12.9079504415	20200310120000	20200310000000:20200311000000	2986.7392578125	0.0:5973.47851562	0.00808334	0.0118904	0.000405108
-74.5822482638889	-74.70703125:-74.4574652778	-13.0325387468837	-13.1571270523:-12.9079504415	20200319120000	20200319000000:20200320000000	2986.7392578125	0.0:5973.47851562	0.0171509	0.0686035	0.00036735
