longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-33.7141974405794	-33.838785746:-33.5896091352	20150311120000	20150311000000:20150312000000	3275.1005859375	0.0:6550.20117188	-0.0026498	0.0185319	0.000394873
-74.5822482638889	-74.70703125:-74.4574652778	-33.465020829812	-33.5896091352:-33.3404325244	20150311120000	20150311000000:20150312000000	3275.1005859375	0.0:6550.20117188	0.0175171	-999999	0.00039473
-74.5822482638889	-74.70703125:-74.4574652778	-32.9666676082772	-33.0912559137:-32.8420793029	20150302120000	20150302000000:20150303000000	3275.1005859375	0.0:6550.20117188	0.00500488	0.00280762	0.000385203
-74.5822482638889	-74.70703125:-74.4574652778	-32.4683143867424	-32.5929026921:-32.3437260814	20150302120000	20150302000000:20150303000000	3275.1005859375	0.0:6550.20117188	0.017112	0.0180442	0.000379197
-74.5822482638889	-74.70703125:-74.4574652778	-32.2191377759749	-32.3437260814:-32.0945494706	20150302120000	20150302000000:20150303000000	3275.1005859375	0.0:6550.20117188	0.0238838	-0.390653	0.000384694
-74.5822482638889	-74.70703125:-74.4574652778	-28.2323120036962	-28.3569003091:-28.1077236983	20150304120000	20150304000000:20150305000000	3275.1005859375	0.0:6550.20117188	-0.0028668	0.0147625	0.000391077
-74.5822482638889	-74.70703125:-74.4574652778	-27.9831353929288	-28.1077236983:-27.8585470875	20150304120000	20150304000000:20150305000000	3275.1005859375	0.0:6550.20117188	-0.00189953	-0.000125248	0.000392638
-74.5822482638889	-74.70703125:-74.4574652778	-27.7339587821614	-27.8585470875:-27.6093704768	20150304120000	20150304000000:20150305000000	3275.1005859375	0.0:6550.20117188	0.0141584	-0.0302022	0.000386899
-74.5822482638889	-74.70703125:-74.4574652778	-27.484782171394	-27.6093704768:-27.360193866	20150304120000	20150304000000:20150305000000	3275.1005859375	0.0:6550.20117188	0.000808085	0.00229685	0.000391482
-74.5822482638889	-74.70703125:-74.4574652778	-27.2356055606266	-27.360193866:-27.1110172552	20150304120000	20150304000000:20150305000000	3275.1005859375	0.0:6550.20117188	-0.00406823	0.0270087	0.000392358
-74.5822482638889	-74.70703125:-74.4574652778	-26.9864289498591	-27.1110172552:-26.8618406445	20150327120000	20150327000000:20150328000000	3275.1005859375	0.0:6550.20117188	0.0714925	-0.114624	0.000388227
-74.5822482638889	-74.70703125:-74.4574652778	-21.2553669022085	-21.3799552076:-21.1307785968	20150313120000	20150313000000:20150314000000	3275.1005859375	0.0:6550.20117188	0.00262451	0.000265682	0.000394787
-74.5822482638889	-74.70703125:-74.4574652778	-21.0061902914411	-21.1307785968:-20.8816019861	20150313120000	20150313000000:20150314000000	3275.1005859375	0.0:6550.20117188	0.00871607	0.00766835	0.00039444
-74.5822482638889	-74.70703125:-74.4574652778	-20.7570136806737	-20.8816019861:-20.6324253753	20150313120000	20150313000000:20150314000000	3275.1005859375	0.0:6550.20117188	0.00527001	0.000549316	0.000394423
-74.5822482638889	-74.70703125:-74.4574652778	-20.5078370699063	-20.6324253753:-20.3832487645	20150313120000	20150313000000:20150314000000	3275.1005859375	0.0:6550.20117188	0.0113584	0.00232956	0.000394209
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20150313120000	20150313000000:20150314000000	3275.1005859375	0.0:6550.20117188	0.00638835	-0.00155301	0.000392796
-74.5822482638889	-74.70703125:-74.4574652778	-13.780068579186	-13.9046568846:-13.6554802738	20150329120000	20150329000000:20150330000000	3275.1005859375	0.0:6550.20117188	0.00619507	0.00401306	0.000394926
