longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-74.5822482638889	-74.70703125:-74.4574652778	-23.4979563991153	-23.6225447045:-23.3733680937	20201004120000	20201004000000:20201005000000	3016.013671875	0.0:6032.02734375	3.05175e-05	-0.043925	0.000408104
-74.5822482638889	-74.70703125:-74.4574652778	-23.2487797883479	-23.3733680937:-23.124191483	20201004120000	20201004000000:20201005000000	3016.013671875	0.0:6032.02734375	-0.0347412	0	0.000407494
-74.5822482638889	-74.70703125:-74.4574652778	-22.9996031775804	-23.124191483:-22.8750148722	20201004120000	20201004000000:20201005000000	3016.013671875	0.0:6032.02734375	-0.0127767	0.00171916	0.000407615
-74.5822482638889	-74.70703125:-74.4574652778	-22.5012499560456	-22.6258382614:-22.3766616507	20201004120000	20201004000000:20201005000000	3016.013671875	0.0:6032.02734375	0.0191854	-0.000335693	0.000403886
-74.5822482638889	-74.70703125:-74.4574652778	-20.2586604591388	-20.3832487645:-20.1340721538	20201027120000	20201027000000:20201028000000	3016.013671875	0.0:6032.02734375	-0.0284424	0.0105591	0.00040103
-74.5822482638889	-74.70703125:-74.4574652778	-20.0094838483714	-20.1340721538:-19.884895543	20201027120000	20201027000000:20201028000000	3016.013671875	0.0:6032.02734375	0.0332031	0.0022583	0.000404635
-74.5822482638889	-74.70703125:-74.4574652778	-19.760307237604	-19.884895543:-19.6357189322	20201027120000	20201027000000:20201028000000	3016.013671875	0.0:6032.02734375	-0.0232544	0.0167236	0.00040579
-74.5822482638889	-74.70703125:-74.4574652778	-19.5111306268366	-19.6357189322:-19.3865423215	20201027120000	20201027000000:20201028000000	3016.013671875	0.0:6032.02734375	0.00541687	0.0558472	0.000401785
-74.5822482638889	-74.70703125:-74.4574652778	-19.2619540160692	-19.3865423215:-19.1373657107	20201027120000	20201027000000:20201028000000	3016.013671875	0.0:6032.02734375	-0.155273	0.0181274	0.000406614
-74.5822482638889	-74.70703125:-74.4574652778	-13.5308919684185	-13.6554802738:-13.406303663	20201020120000	20201020000000:20201021000000	3016.013671875	0.0:6032.02734375	-0.0338745	-0.0010376	0.00039983
-74.5822482638889	-74.70703125:-74.4574652778	-13.2817153576511	-13.406303663:-13.1571270523	20201020120000	20201020000000:20201021000000	3016.013671875	0.0:6032.02734375	0.00573294	-0.00190081	0.000404218
-74.5822482638889	-74.70703125:-74.4574652778	-13.0325387468837	-13.1571270523:-12.9079504415	20201020120000	20201020000000:20201021000000	3016.013671875	0.0:6032.02734375	0.00894442	0.0220559	0.000403921
-74.5822482638889	-74.70703125:-74.4574652778	-12.7833621361163	-12.9079504415:-12.6587738307	20201020120000	20201020000000:20201021000000	3016.013671875	0.0:6032.02734375	0.00308228	0.00693859	0.00040923
